titulo_original,titulo_romanizado,titulo_ingles,release_date,anio,temporada_año,temporadas,episodios,estudio,generos,demografia,formato,estado,popularidad,score_promedio,score_media,trends_MX,trends_US,trends_CA,trends_CO,trends_BR,trends_latam_avg,popular_algún_país,cluster
师兄啊师兄 年番2,Shixiong A Shixiong Nian Fan 2,,2025-06-05,2025,,1,52.0,Sparkly Key Animation,Action | Adventure | Comedy | Fantasy,Unknown,ONA,RELEASING,168,,78.0,,,,,,,,2
君有云 第二季,Jun You Yun 2nd Season,Word of Honor 2nd Season,2025-05-28,2025,,1,32.0,Passion Paint Animation,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,166,,74.0,,,,,,,,2
火星西路7号,Huoxing Xi Lu 7 Hao,No.7 West Mars Street,2023-12-20,2023,,1,12.0,Thunder River | Maple Toon,Comedy | Sci-Fi,Unknown,ONA,FINISHED,166,,69.0,,,,,,,,1
云中居三子,Yun Zhong Ju San Zi,,2024-01-17,2024,,1,26.0,Escape Velocity Animation,Adventure | Fantasy,Unknown,ONA,FINISHED,165,,55.0,,,,,,,,3
百家诀之江湖诡事录,Baijia Jue: Jianghu Gui Shi Lu,,2024-03-03,2024,,1,16.0,XMOV,Action | Adventure | Sci-Fi,Unknown,ONA,FINISHED,165,,58.0,,,,,,,,3
もっふんといっしょ,Moffun to Issho,,2023-06-02,2023,SPRING 2023,1,5.0,Unknown,Comedy,Unknown,ONA,FINISHED,165,,59.0,,,,,,,,3
锦衣神匠,Jinyi Shen Jiag,,2023-09-11,2023,,1,13.0,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,164,,63.0,,,,,,,,2
ラーメンを食べている時だけなぜか脳内で会話ができる２人,Ramen wo Tabete Iru Toki dake Naze ka Nounai de Kaiwa ga Dekiru Futari,,2024-01-17,2024,,1,2.0,Drive,Romance | Slice of Life,Unknown,ONA,FINISHED,162,,64.0,,,,,,,,1
잊혀진 황녀는 평화롭게 살고 싶어,Ityeojin Hwangnyeoneun Pyeonghwaropge Salgo Sipeo,,2023-05-31,2023,,1,10.0,Laftel,Fantasy | Romance,Unknown,ONA,FINISHED,162,,58.0,,,,,,,,3
凌天独尊,Ling Tian Du Zun,,2025-07-02,2025,,1,60.0,Unknown,Action | Adventure | Fantasy,Unknown,ONA,FINISHED,162,,70.0,,,,,,,,2
非人哉 第二季 第二部分,Fei Ren Zai 2 Part 2,,2023-01-18,2023,,2,12.0,FENZ,Comedy | Slice of Life | Supernatural,Unknown,ONA,FINISHED,162,,61.0,,,,,,,,1
貼りまわれ！こいぬ 第2期,Harimaware! Koinu 2nd Season,,2024-07-06,2024,SUMMER 2024,1,12.0,Opera House,Comedy | Slice of Life,Kids,TV_SHORT,FINISHED,162,,57.0,,,,,,,,3
鶴が舞う夜に,Tsuru ga Mau Yoru ni,,2023-03-31,2023,WINTER 2023,1,1.0,Unknown,Fantasy,Unknown,ONA,FINISHED,161,50.0,60.0,,,,,,,,3
